ProductCode,SelectionGroup,GrpOrder,PartNumber,Order,Active,DefaultItem,ExclusionRule,Cost,Name,Description,AdditionalData,EnglishUS,EnglishUS_LongDesc,French,French_LongDesc,German,German_LongDesc,Spanish,Spanish_LongDesc,Russian,Russian_LongDesc
FPD190,CH/FPD/PRODUCT/DES,1,R1,1,TRUE,FALSE,,0,Restriction - Plate for RF/FF flanges,Restriction - Plate for RF/FF flanges,,,,,,,,,,,
FPD190,CH/FPD/PRODUCT/DES,1,R2,2,TRUE,FALSE,,999999,Restriction - RTJ F Integral Carrier,Restriction - RTJ F Integral Carrier,1,,,,,,,,,,
FPD190,CH/FPD/PRODUCT/DES,1,R3,3,TRUE,FALSE,,999999,Restriction - RTJ M Screwed Plate,Restriction - RTJ M Screwed Plate,1,,,,,,,,,,
FPD190,CH/FPD/PRODUCT/DES,1,R4,4,TRUE,FALSE,,999999,Restriction - RTJ M Integral,Restriction - RTJ M Integral,1,,,,,,,,,,
FPD190,CH/FPD/PRODUCT/DES,1,R5,5,TRUE,FALSE,,999999,Restriction - Multi Stage,Restriction - Multi Stage,2,,,,,,,,,,
FPD190,CH/FPD/CUST/STD,2,A1,1,TRUE,FALSE,,0,ABB Standard,ABB Standard,,,,,,,,,,,
FPD190,CH/FPD/CUST/STD,2,A2,2,TRUE,FALSE,,999999,Aramco Standard,Aramco Standard,,,,,,,,,,,
FPD190,CH/FPD/CUST/STD,2,S1,3,TRUE,FALSE,,0,Shell Standard,Shell Standard,,,,,,,,,,,
FPD190,CH/FPD/ORIFICE/DESIGN,3,C4,1,TRUE,FALSE,,0,Restriction - Concentric,Restriction Plate - Concentric,,,,,,,,,,,
FPD190,CH/FPD/ORIFICE/DESIGN,3,M2,2,TRUE,FALSE,,0,Restriction - Multi-hole,Restriction Plate - Multi-hole,,,,,,,,,,,
FPD190,CH/FPD/LINE/SIZE,4,015,1,TRUE,FALSE,,0,DN 15 (½ in.),DN 15 (½ in.),"½""",,,,,,,,,,
FPD190,CH/FPD/LINE/SIZE,4,020,2,TRUE,FALSE,,0,DN 20 (¾ in.),DN 20 (¾ in.),"¾""",,,,,,,,,,
FPD190,CH/FPD/LINE/SIZE,4,025,3,TRUE,FALSE,,0,DN 25 (1 in.),DN 25 (1 in.),"1""",,,,,,,,,,
FPD190,CH/FPD/LINE/SIZE,4,032,4,TRUE,FALSE,,0,DN 32 (1¼ in.),DN 32 (1¼ in.),"1¼""",,,,,,,,,,
FPD190,CH/FPD/LINE/SIZE,4,040,5,TRUE,FALSE,,0,DN 40 (1½ in.),DN 40 (1½ in.),"1½""",,,,,,,,,,
FPD190,CH/FPD/LINE/SIZE,4,050,6,TRUE,FALSE,,0,DN 50 (2 in.),DN 50 (2 in.),"2""",,,,,,,,,,
